"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj","Name","MOA","Phase"
"B2M",55,"beta-2-microglobulin",2.313198796,0,2.515241971,5.09e-190,"3-indolebutyric-acid",NA,"Preclinical"
"SLC7A11",57,"solute carrier family 7 member 11",1.97916397,0,4.993416288,1.67e-187,"acetylcysteine","mucolytic agent","Launched"
"SLC7A11",57,"solute carrier family 7 member 11",1.97916397,0,4.993416288,1.67e-187,"L-cystine",NA,"Launched"
"SLC7A11",57,"solute carrier family 7 member 11",1.97916397,0,4.993416288,1.67e-187,"L-glutamic-acid","glutamate receptor agonist","Launched"
"SLC7A11",57,"solute carrier family 7 member 11",1.97916397,0,4.993416288,1.67e-187,"riluzole","glutamate inhibitor","Launched"
"SLC7A11",57,"solute carrier family 7 member 11",1.97916397,0,4.993416288,1.67e-187,"sulfasalazine","cyclooxygenase inhibitor","Launched"
"CTH",59,"cystathionine gamma-lyase",3.20479604,0,3.952213363,8.06e-175,"L-cysteine",NA,"Launched"
"CTH",59,"cystathionine gamma-lyase",3.20479604,0,3.952213363,8.06e-175,"MC-1",NA,"Phase 3"
"MTHFD2",66,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1.316334238,0,2.209901096,1.76e-166,"coenzyme-I",NA,"Phase 2"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"epacadostat","indoleamine 2,3-dioxygenase inhibitor","Phase 3"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"IDO5L","indoleamine 2,3-dioxygenase inhibitor","Preclinical"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"indoximod","indoleamine 2,3-dioxygenase inhibitor","Phase 2"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"NLG919","indoleamine 2,3-dioxygenase inhibitor","Phase 1"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"tenatoprazole","ATPase inhibitor","Phase 2"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"tryptanthrin","cyclooxygenase inhibitor","Preclinical"
"IDO1",67,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11e-225,9.176123109,0,"tryptophan","serotonin receptor partial agonist","Launched"
"KLF4",69,"KLF transcription factor 4",5.260464902,1.97e-241,3.586938075,1.4e-242,"APTO-253","krüppel-like factor expression enhancer","Phase 1"
"NT5E",83,"5'-nucleotidase ecto",2.656578338,2.18e-258,3.377279363,3.07e-154,"pentoxifylline","phosphodiesterase inhibitor","Launched"
"CTSS",87,"cathepsin S",6.365885054,9.77e-195,4.037242384,4.11e-256,"boceprevir","HCV inhibitor","Launched"
"CTSS",87,"cathepsin S",6.365885054,9.77e-195,4.037242384,4.11e-256,"E-64","calpain inhibitor, cysteine protease inhibitor","Preclinical"
"CTSS",87,"cathepsin S",6.365885054,9.77e-195,4.037242384,4.11e-256,"LY3000328","cathepsin inhibitor","Phase 1"
"CTSS",87,"cathepsin S",6.365885054,9.77e-195,4.037242384,4.11e-256,"VBY-825","cathepsin inhibitor","Preclinical"
"LTA4H",94,"leukotriene A4 hydrolase",-2.170031351,4.87e-239,-2.233060753,2.78e-146,"captopril","angiotensin converting enzyme inhibitor","Launched"
"LTA4H",94,"leukotriene A4 hydrolase",-2.170031351,4.87e-239,-2.233060753,2.78e-146,"C11-Acetate",NA,"Phase 3"
"LTA4H",94,"leukotriene A4 hydrolase",-2.170031351,4.87e-239,-2.233060753,2.78e-146,"ubenimex","leukotriene synthesis inhibitor","Launched"
"SLC1A5",98,"solute carrier family 1 member 5",1.808310742,0,1.977528399,3.51e-105,"L-asparagine",NA,"Phase 3"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"AG-490","EGFR inhibitor, JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"AT-9283","Aurora kinase inhibitor, JAK inhibitor","Phase 2"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"atiprimod","JAK inhibitor, STAT inhibitor","Phase 2"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"AZD1480","JAK inhibitor","Phase 1"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"AZ960","JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"baricitinib","JAK inhibitor","Launched"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"CEP-33779","JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"CKD-712","NFkB pathway inhibitor","Phase 1"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"curcumol","JAK inhibitor","Phase 1"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"cyt387","JAK inhibitor","Phase 3"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"fedratinib","FLT3 inhibitor, JAK inhibitor","Launched"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"filgotinib","JAK inhibitor","Phase 3"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"LY2784544","JAK inhibitor","Phase 2"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"NS-018","JAK inhibitor","Phase 1/Phase 2"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"NVP-BSK805","JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"pacritinib","FLT3 inhibitor, JAK inhibitor","Phase 3"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"peficitinib","JAK inhibitor","Launched"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"RGB-286638","CDK inhibitor","Phase 1"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"ruxolitinib","JAK inhibitor","Launched"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"ruxolitinib-(S)","JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"TG-02","CDK inhibitor, FLT3 inhibitor, JAK inhibitor","Phase 1/Phase 2"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"TG-101209","JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"thiram",NA,"Launched"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"tofacitinib","JAK inhibitor","Launched"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"WHI-P154","JAK inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"WP1130","deubiquitinase inhibitor","Preclinical"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"XL019","JAK inhibitor","Phase 1"
"JAK2",99,"Janus kinase 2",2.829375577,3.38e-205,3.603139779,1.05e-156,"1,2,3,4,5,6-hexabromocyclohexane","JAK inhibitor","Preclinical"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"belinostat","HDAC inhibitor","Launched"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"dacinostat","HDAC inhibitor","Phase 1"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"entinostat","HDAC inhibitor","Phase 3"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"givinostat","HDAC inhibitor","Phase 3"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"JNJ-26481585","HDAC inhibitor","Phase 2"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"panobinostat","HDAC inhibitor","Launched"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"romidepsin","HDAC inhibitor","Launched"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"SB-939","HDAC inhibitor","Phase 3"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"scriptaid","HDAC inhibitor","Preclinical"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"trichostatin-a","HDAC inhibitor","Phase 1"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"valproic-acid","benzodiazepine receptor agonist, HDAC inhibitor","Launched"
"HDAC9",101,"histone deacetylase 9",2.760477433,1.2e-200,2.286236398,5.85e-162,"vorinostat","HDAC inhibitor","Launched"
"SLC25A22",106,"solute carrier family 25 member 22",1.705259523,1.04e-174,2.130978758,2.86e-196,"L-glutamic-acid","glutamate receptor agonist","Launched"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"afimoxifene","estrogen receptor antagonist","Phase 2"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"ingenol","PKC activator","Launched"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"ingenol-mebutate","PKC activator","Launched"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"sotrastaurin","PKC inhibitor","Phase 2"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"tamoxifen","estrogen receptor antagonist, selective estrogen receptor modulator (SERM)","Launched"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"Y-27632","rho associated kinase inhibitor","Preclinical"
"PRKCE",107,"protein kinase C epsilon",1.616354387,3.71e-165,3.523394838,1.02e-243,"7-hydroxystaurosporine","CDK inhibitor, CHK inhibitor, PKC inhibitor","Phase 2"
"CD274",115,"CD274 molecule",2.690807412,1.12e-147,6.95118916,0,"PD1-PDL-inhibitor-1","programmed death ligand inhibitor","Preclinical"
"VEGFA",117,"vascular endothelial growth factor A",1.752353831,0,1.882673944,2.29e-88,"pidolic-acid",NA,"Launched"
"VEGFA",117,"vascular endothelial growth factor A",1.752353831,0,1.882673944,2.29e-88,"trometamol",NA,"Launched"
"VEGFA",117,"vascular endothelial growth factor A",1.752353831,0,1.882673944,2.29e-88,"vandetanib","EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","Launched"
"EPAS1",122,"endothelial PAS domain protein 1",1.040429216,6.99e-171,2.029366111,6.63e-162,"PT-2385","hypoxia inducible factor inhibitor","Phase 1"
"EPAS1",122,"endothelial PAS domain protein 1",1.040429216,6.99e-171,2.029366111,6.63e-162,"TC-S-7009","hypoxia inducible factor inhibitor","Preclinical"
"PSMB10",123,"proteasome 20S subunit beta 10",2.996962824,1.17e-177,4.687414686,4.37e-149,"bortezomib","NFkB pathway inhibitor, proteasome inhibitor","Launched"
"PSMB10",123,"proteasome 20S subunit beta 10",2.996962824,1.17e-177,4.687414686,4.37e-149,"carfilzomib","proteasome inhibitor","Launched"
"NNMT",125,"nicotinamide N-methyltransferase",1.940449217,0,2.06374299,2.02e-85,"niacin","NAD precursor, vitamin B","Launched"
"EPHA2",133,"EPH receptor A2",1.304031472,1.26e-149,3.506766391,4e-203,"dasatinib","Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, SRC inhibitor, tyrosine kinase inhibitor","Launched"
"EPHA2",133,"EPH receptor A2",1.304031472,1.26e-149,3.506766391,4e-203,"dorsomorphin","AMPK inhibitor","Preclinical"
"EPHA2",133,"EPH receptor A2",1.304031472,1.26e-149,3.506766391,4e-203,"regorafenib","FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","Launched"
"EPHA2",133,"EPH receptor A2",1.304031472,1.26e-149,3.506766391,4e-203,"vandetanib","EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","Launched"
"RIPK2",134,"receptor interacting serine/threonine kinase 2",2.186671695,2.89e-153,3.550981046,1.21e-185,"LDN-212854","bone morphogenic protein inhibitor","Preclinical"
"RIPK2",134,"receptor interacting serine/threonine kinase 2",2.186671695,2.89e-153,3.550981046,1.21e-185,"necrostatin-2","necroptosis inhibitor, RIPK inhibitor","Preclinical"
"RIPK2",134,"receptor interacting serine/threonine kinase 2",2.186671695,2.89e-153,3.550981046,1.21e-185,"PP-2","SRC inhibitor","Preclinical"
"RIPK2",134,"receptor interacting serine/threonine kinase 2",2.186671695,2.89e-153,3.550981046,1.21e-185,"SB-203580","p38 MAPK inhibitor","Preclinical"
"RIPK2",134,"receptor interacting serine/threonine kinase 2",2.186671695,2.89e-153,3.550981046,1.21e-185,"SRC-kinase-inhibitor-I","SRC inhibitor","Preclinical"
"HAPLN3",136,"hyaluronan and proteoglycan link protein 3",5.335050575,1.35e-202,2.070651152,1.19e-107,"hyaluronic-acid",NA,"Launched"
"NFKB2",137,"nuclear factor kappa B subunit 2",2.853702605,1.14e-254,1.422844708,5.45e-88,"andrographolide","tumor necrosis factor production inhibitor","Phase 2"
"NFKB2",137,"nuclear factor kappa B subunit 2",2.853702605,1.14e-254,1.422844708,5.45e-88,"aspirin","cyclooxygenase inhibitor","Launched"
"SCD",139,"stearoyl-CoA desaturase",-1.470816088,0,-1.540473616,1.06e-78,"A-939572","stearoyl-CoA desaturase inhibitor","Preclinical"
"SCD",139,"stearoyl-CoA desaturase",-1.470816088,0,-1.540473616,1.06e-78,"MK-8245","stearoyl-CoA desaturase inhibitor","Phase 2"
"SCD",139,"stearoyl-CoA desaturase",-1.470816088,0,-1.540473616,1.06e-78,"plurisin-1","stearoyl-CoA desaturase inhibitor","Preclinical"
"SERPINE1",150,"serpin family E member 1",2.337069986,7.42e-144,2.08435323,9.77e-160,"tiplaxtinin","plasminogen activator inhibitor","Phase 1"
"GART",157,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",0.912422104,1.71e-242,1.008522105,3.6e-79,"lometrexol","glycinamide ribonucleotide formyltransferase inhibitor","Phase 2"
"GART",157,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",0.912422104,1.71e-242,1.008522105,3.6e-79,"pemetrexed","dihydrofolate reductase inhibitor, thymidylate synthase inhibitor","Launched"
"LDHA",164,"lactate dehydrogenase A",-1.516584744,5.75e-295,-1.470989979,9.23e-69,"coenzyme-I",NA,"Phase 2"
"LDHA",164,"lactate dehydrogenase A",-1.516584744,5.75e-295,-1.470989979,9.23e-69,"GSK2837808A","lactate dehydrogenase inhibitor","Preclinical"
"LDHA",164,"lactate dehydrogenase A",-1.516584744,5.75e-295,-1.470989979,9.23e-69,"NHI-2","lactate dehydrogenase inhibitor","Preclinical"
"LDHA",164,"lactate dehydrogenase A",-1.516584744,5.75e-295,-1.470989979,9.23e-69,"nicotinamide","protein synthesis stimulant","Launched"
"CASP8",165,"caspase 8",2.063967005,1.21e-163,1.789304423,1.18e-107,"aloe-emodin","anticancer agent","Preclinical"
"SLC25A5",173,"solute carrier family 25 member 5",-1.678699373,2.04e-288,-1.661459301,3.86e-67,"clodronic-acid","bone resorption inhibitor","Launched"
"EIF2A",178,"eukaryotic translation initiation factor 2A",-1.468687735,9.53e-233,-1.317454465,3.67e-72,"ISRIB","eukaryotic translation initiation factor inhibitor, PERK inhibitor","Preclinical"
"EIF2A",178,"eukaryotic translation initiation factor 2A",-1.468687735,9.53e-233,-1.317454465,3.67e-72,"sal003","eukaryotic translation initiation factor inhibitor","Preclinical"
"PPIF",183,"peptidylprolyl isomerase F",1.617006662,3.24e-243,2.134567917,6.72e-67,"cyclosporin-A","calcineurin inhibitor","Launched"
"PPIF",183,"peptidylprolyl isomerase F",1.617006662,3.24e-243,2.134567917,6.72e-67,"L-proline","glutamate receptor agonist","Launched"
"TGM2",184,"transglutaminase 2",1.958953722,3.14e-234,7.392855906,1.33e-67,"GK921","transglutaminase inhibitor","Preclinical"
"TGM2",184,"transglutaminase 2",1.958953722,3.14e-234,7.392855906,1.33e-67,"LDN-27219","tissue transglutaminase inhibitor","Preclinical"
"ATF5",185,"activating transcription factor 5",1.729346962,7.09e-105,3.937307366,0,"ephedrine-(racemic)","adrenergic receptor agonist","Launched"
"RNPEP",194,"arginyl aminopeptidase",-1.734355823,2.13e-120,-2.220515737,3.98e-135,"ubenimex","leukotriene synthesis inhibitor","Launched"
"KDM1A",196,"lysine demethylase 1A",-0.867959954,9.72e-158,-1.073312473,7.02e-85,"GSK-LSD-1","histone lysine demethylase inhibitor","Preclinical"
"KDM1A",196,"lysine demethylase 1A",-0.867959954,9.72e-158,-1.073312473,7.02e-85,"GSK2879552","histone lysine demethylase inhibitor","Phase 1/Phase 2"
"KDM1A",196,"lysine demethylase 1A",-0.867959954,9.72e-158,-1.073312473,7.02e-85,"OG-L002","histone lysine demethylase inhibitor","Preclinical"
"KDM1A",196,"lysine demethylase 1A",-0.867959954,9.72e-158,-1.073312473,7.02e-85,"ORY-1001","histone lysine demethylase inhibitor","Phase 1/Phase 2"
"KDM1A",196,"lysine demethylase 1A",-0.867959954,9.72e-158,-1.073312473,7.02e-85,"RN-1","histone demethylase inhibitor","Preclinical"
"KDM1A",196,"lysine demethylase 1A",-0.867959954,9.72e-158,-1.073312473,7.02e-85,"tranylcypromine","monoamine oxidase inhibitor","Launched"
"GPT2",202,"glutamic--pyruvic transaminase 2",1.641468052,6.97e-219,1.127332408,1.36e-63,"L-alanine",NA,"Launched"
"GPT2",202,"glutamic--pyruvic transaminase 2",1.641468052,6.97e-219,1.127332408,1.36e-63,"L-glutamic-acid","glutamate receptor agonist","Launched"
"GPT2",202,"glutamic--pyruvic transaminase 2",1.641468052,6.97e-219,1.127332408,1.36e-63,"MC-1",NA,"Phase 3"
"GPT2",202,"glutamic--pyruvic transaminase 2",1.641468052,6.97e-219,1.127332408,1.36e-63,"phenelzine","monoamine oxidase inhibitor","Launched"
"EEF2",209,"eukaryotic translation elongation factor 2",-1.792119261,0,-1.192405251,8.72e-53,"PJ-34","PARP inhibitor","Preclinical"
"RPL23",214,"ribosomal protein L23",-1.964769073,0,-1.20290875,7.63e-52,"anisomycin","DNA synthesis inhibitor","Preclinical"
"RPL23",214,"ribosomal protein L23",-1.964769073,0,-1.20290875,7.63e-52,"puromycin","protein synthesis inhibitor","Preclinical"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"alendronate","bone resorption inhibitor","Launched"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"ibandronate","bone resorption inhibitor","Launched"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"minodronic-acid","bone resorption inhibitor","Launched"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"neridronic-acid","bone resorption inhibitor","Launched"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"pamidronate","bone resorption inhibitor","Launched"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"risedronate","osteoclast inhibitor","Launched"
"FDPS",220,"farnesyl diphosphate synthase",-1.587322426,2.79e-110,-2.22440203,3.85e-120,"zoledronic-acid","bone resorption inhibitor","Launched"
"AHCY",228,"adenosylhomocysteinase",-1.391073719,1.36e-212,-1.230850742,4.96e-55,"nadide","free radical scavenger","Launched"
"AHCY",228,"adenosylhomocysteinase",-1.391073719,1.36e-212,-1.230850742,4.96e-55,"3-deazaadenosine","adenosylhomocysteinase inhibitor","Phase 2"
"IDH2",229,"isocitrate dehydrogenase (NADP(+)) 2",-1.866859123,0,-1.880589205,2.91e-49,"AGI-6780","isocitrate dehydrogenase inhibitor","Preclinical"
"DHCR7",231,"7-dehydrocholesterol reductase",-2.12635033,1.5e-279,-1.692904613,8.06e-50,"coenzyme-I",NA,"Phase 2"
"IL4I1",238,"interleukin 4 induced 1",5.065008952,3.44e-120,5.750498452,3.22e-85,"citric-acid","coagulation factor inhibitor","Preclinical"
"IL4I1",238,"interleukin 4 induced 1",5.065008952,3.44e-120,5.750498452,3.22e-85,"flavin-adenine-dinucleotide",NA,"Preclinical"
"QPRT",242,"quinolinate phosphoribosyltransferase",-1.915290523,1.31e-256,-2.874935029,6.53e-50,"niacin","NAD precursor, vitamin B","Launched"
"ACAT2",250,"acetyl-CoA acetyltransferase 2",-1.702766076,1.82e-205,-2.689870825,2.69e-52,"coenzyme-A",NA,"Launched"
"KDM7A",252,"lysine demethylase 7A",2.315328798,3.04e-123,3.057672668,7.06e-78,"daminozide","KDM2A inhibitor","Preclinical"
"KDM7A",252,"lysine demethylase 7A",2.315328798,3.04e-123,3.057672668,7.06e-78,"TC-E-5002","histone demethylase inhibitor","Preclinical"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"alpha-asarone","cytochrome P450 inhibitor, HMGCR inhibitor","Preclinical"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"atorvastatin","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"benfluorex","gluconeogenesis inhibitor","Withdrawn"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"coenzyme-A",NA,"Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"coenzyme-I",NA,"Phase 2"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"delta-tocotrienol","HMGCR inhibitor","Phase 1"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"fluvastatin","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"lovastatin","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"meglutol","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"mevastatin","HMGCR inhibitor","Preclinical"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"nadide","free radical scavenger","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"pitavastatin","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"pravastatin","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"rosuvastatin","HMGCR inhibitor","Launched"
"HMGCR",256,"3-hydroxy-3-methylglutaryl-CoA reductase",-1.940741189,0,-1.26834353,2.35e-45,"simvastatin","HMGCR inhibitor","Launched"
"ATF6",263,"activating transcription factor 6",1.127683351,5.33e-115,1.22336585,1.81e-81,"ephedrine-(racemic)","adrenergic receptor agonist","Launched"
"EGLN3",268,"egl-9 family hypoxia inducible factor 3",-2.126592695,9.82e-83,-4.393425745,1.97e-181,"FG-4592","hypoxia inducible factor prolyl hydroxylase inhibitor","Phase 3"
"CAT",278,"catalase",-2.445916735,7.27e-263,-2.246661551,1.92e-43,"fomepizole","alcohol dehydrogenase inhibitor","Launched"
"APEX1",282,"apurinic/apyrimidinic endodeoxyribonuclease 1",-0.909215192,3.98e-110,-1.05353914,4.45e-76,"lucanthone","endonuclease inhibitor","Phase 2"
