gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D3_1_S18_L001,OS_17_D3_2_S19_L001,OS_17_D3_3_S20_L001,OS_17_Media_1_S21_L001,OS_17_Media_2_S22_L001
ENSG00000115415,STAT1,6772,signal transducer and activator of transcription 1,26679.608440750984,2.5916602287903237,0.032735573170700825,79.16953875455359,0,0,39674,38884,33073,8818,6474
ENSG00000115902,SLC1A4,6509,solute carrier family 1 member 4,3271.238719325297,4.206206992558815,0.10253421212430436,41.02247343022973,0,0,4934,5212,4491,347,304
ENSG00000115963,RND3,390,Rho family GTPase 3,54919.364556599336,5.944875098013852,0.036991421981047864,160.70955858522123,0,0,89738,85719,76753,1902,1477
ENSG00000116514,RNF19B,127544,ring finger protein 19B,4372.683331467285,3.6669046180779983,0.08324417826413225,44.049982768079914,0,0,7155,6639,5551,774,491
ENSG00000116701,NCF2,4688,neutrophil cytosolic factor 2,8617.302754008257,4.314780634907301,0.06853734028015743,62.955180596007075,0,0,13874,13505,11379,866,731
ENSG00000116717,GADD45A,1647,growth arrest and DNA damage inducible alpha,28005.60759781165,1.730562835041617,0.032053886159617954,53.98917393117251,0,0,38160,36560,33457,15587,11384
ENSG00000117226,GBP3,2635,guanylate binding protein 3,2902.6004879021048,5.762484163065498,0.13127938136998804,43.89481503439555,0,0,4591,4370,4310,120,83
ENSG00000117228,GBP1,2633,guanylate binding protein 1,96086.71311701668,7.415753580872732,0.05089423743942628,145.70910095074856,0,0,151487,156667,135808,1272,884
ENSG00000118503,TNFAIP3,7128,TNF alpha induced protein 3,10006.46621393093,2.6823535435155588,0.044753300126735014,59.936441243875045,0,0,14968,14730,12432,3128,2292
ENSG00000119917,IFIT3,3437,interferon induced protein with tetratricopeptide repeats 3,20080.725107225193,5.264830823048231,0.05060725149888634,104.0331309666973,0,0,31678,31995,27912,1126,843
ENSG00000119922,IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2,13295.535685844388,4.345117308598498,0.065895904523477,65.93911017718021,0,0,20474,21435,17856,1330,1086
ENSG00000120129,DUSP1,1843,dual specificity phosphatase 1,8338.745818754509,4.903697663237285,0.06778973897491855,72.33687188339223,0,0,14026,12896,11035,618,430
ENSG00000120217,CD274,29126,CD274 molecule,10052.116838550952,6.785146584219978,0.08604914315656408,78.85199474763611,0,0,16642,15825,13946,205,143
ENSG00000120889,TNFRSF10B,8795,TNF receptor superfamily member 10b,12077.271893560177,2.119903361201208,0.04888383697385861,43.36614088486669,0,0,17631,16709,14349,5563,3737
ENSG00000121060,TRIM25,7706,tripartite motif containing 25,7266.278811315254,3.28798044561957,0.051744905175526164,63.54210978774175,0,0,11284,10738,9559,1504,1162
ENSG00000122180,MYOG,4656,myogenin,7197.016261518365,-6.35163446374253,0.08240205932320224,-77.08101612885393,0,0,238,180,185,23317,17316
ENSG00000122406,RPL5,6125,ribosomal protein L5,49648.521734815964,-1.6854906423254226,0.03284857710432188,-51.31091788154388,0,0,25751,24600,22866,112710,82227
ENSG00000122863,CHST3,9469,carbohydrate sulfotransferase 3,7962.91803042729,1.810016842762932,0.046035560199302945,39.31779769653674,0,0,11260,10679,9165,4178,3134
ENSG00000124491,F13A1,2162,coagulation factor XIII A chain,5534.384245999251,-4.59041913338811,0.08863179552262992,-51.79201330989691,0,0,603,459,447,17102,12830
ENSG00000125148,MT2A,4502,metallothionein 2A,23626.373683044974,1.7271444993912266,0.03891930671270369,44.37757620249355,0,0,33353,31134,26949,12888,9839
ENSG00000125347,IRF1,3659,interferon regulatory factor 1,20156.880731795132,6.819090806351971,0.06480494573286533,105.22485173371146,0,0,32826,31918,28268,370,310
ENSG00000125826,RBCK1,10616,RANBP2-type and C3HC4-type zinc finger containing 1,9567.127304181402,2.8383494553531086,0.04173526962117362,68.00841305486917,0,0,14603,13929,12131,2724,1975
ENSG00000125977,EIF2S2,8894,eukaryotic translation initiation factor 2 subunit beta,19297.90429822811,1.5373010595732983,0.04051830146794466,37.940905809921645,0,0,25567,24847,22388,11672,8998
ENSG00000126709,IFI6,2537,interferon alpha inducible protein 6,4092.229482908802,4.953702184146831,0.09338216496460768,53.047626235955335,0,0,6405,6490,5692,310,189
ENSG00000128272,ATF4,468,activating transcription factor 4,16463.87940203911,2.0652905408408166,0.031482326795867654,65.60158511256878,0,0,23485,22458,19996,7574,5461
ENSG00000128342,LIF,3976,LIF interleukin 6 family cytokine,6963.442837253057,2.8129610856166756,0.05527510792662979,50.89019616841816,0,0,10651,10290,8639,2064,1422
ENSG00000129152,MYOD1,4654,myogenic differentiation 1,16968.59201086259,-3.5084296089920106,0.039701397438434205,-88.37043115252068,0,0,3385,3050,2748,50265,36154
ENSG00000129521,EGLN3,112399,egl-9 family hypoxia inducible factor 3,4098.149048861149,-4.3181163066376564,0.08052607710462156,-53.62382549726653,0,0,435,493,402,12687,9257
ENSG00000130066,SAT1,6303,spermidine/spermine N1-acetyltransferase 1,12047.363215413267,2.2313852169564536,0.04395574597782757,50.76435781756548,0,0,17868,16667,14514,5119,3536
ENSG00000130487,KLHDC7B,113730,kelch domain containing 7B,17514.82889143245,11.2289013549991,0.2759272478659941,40.69515222524341,0,0,28296,27509,25369,14,14
ENSG00000130589,HELZ2,85441,helicase with zinc finger 2,11523.226070075227,4.269366314854659,0.0758454174462493,56.29036609733614,0,0,19348,18133,14441,1355,878
ENSG00000130766,SESN2,83667,sestrin 2,9362.508499925538,4.385079922770067,0.057491527224834,76.27349862565298,0,0,15197,14715,12286,963,704
ENSG00000131051,RBM39,9584,RNA binding motif protein 39,11023.623544857424,2.2911894685523437,0.04520919338296479,50.679724567164776,0,0,16385,15223,13482,4534,3106
ENSG00000131203,IDO1,3620,"indoleamine 2,3-dioxygenase 1",6065.61617292598,9.185455784759853,0.23706661172762358,38.746307283935174,0,0,10586,9465,8154,26,14
ENSG00000131747,TOP2A,7153,DNA topoisomerase II alpha,10625.174758123647,-2.0009087212495897,0.04783156985027219,-41.83238659138852,0,0,4770,4792,3906,25953,18609
ENSG00000132688,NES,10763,nestin,12607.310581432499,-3.105707492138285,0.04682991122862498,-66.31888488910711,0,0,3133,2909,2644,34716,26820
ENSG00000134333,LDHA,3939,lactate dehydrogenase A,20707.205718687528,-1.366568809547286,0.034342617649018255,-39.79221454560124,0,0,12493,12394,10495,43339,31973
ENSG00000134352,IL6ST,3572,interleukin 6 cytokine family signal transducer,8377.16826096672,1.8013012446037713,0.0479767039717806,37.54533128543549,0,0,12021,11000,9677,4553,3210
ENSG00000134684,YARS1,8565,tyrosyl-tRNA synthetase 1,17098.7563392971,2.8683114460917722,0.037145833590175516,77.21758186227365,0,0,25755,25164,21844,4678,3541
ENSG00000134686,PHC2,1912,polyhomeotic homolog 2,9698.712369161698,1.474610564697891,0.038596392116763384,38.20591728462181,0,0,12952,12260,11097,6277,4534
ENSG00000134954,ETS1,2113,"ETS proto-oncogene 1, transcription factor",17991.278282627296,1.9750254827311278,0.04563781243565201,43.2760769486017,0,0,26094,24657,20805,8449,6512
ENSG00000135052,GOLM1,51280,golgi membrane protein 1,28476.95813516861,2.0385832529119234,0.03090511133322617,65.96265682176129,0,0,40109,39358,34294,13072,9780
ENSG00000135069,PSAT1,29968,phosphoserine aminotransferase 1,13077.591876666938,2.7038872104592238,0.05961382287642848,45.356715607117195,0,0,19798,18624,16679,4314,2742
ENSG00000135114,OASL,8638,2'-5'-oligoadenylate synthetase like,5386.815629901113,4.29600174025274,0.0803944086504897,53.436573666825176,0,0,8662,8697,6890,575,441
ENSG00000135318,NT5E,4907,5'-nucleotidase ecto,9672.82240846745,3.288001572103906,0.055290027932668004,59.46825666480079,0,0,15297,14394,12414,2155,1424
ENSG00000135486,HNRNPA1,3178,heterogeneous nuclear ribonucleoprotein A1,10981.797815644286,-2.300968584211016,0.04867774963914228,-47.26941161554403,0,0,4366,4143,3416,27793,20621
ENSG00000135899,SP110,3431,SP110 nuclear body protein,6735.618225394485,4.4026877256564925,0.08247642007786027,53.381169084451294,0,0,10892,9718,9648,647,531
ENSG00000136068,FLNB,2317,filamin B,65244.539503996755,4.384678350838132,0.02720783989185095,161.15496005073862,0,0,105678,99160,88794,6685,4928
ENSG00000136826,KLF4,9314,KLF transcription factor 4,10158.352053503986,3.7765641162051713,0.0525451778259293,71.87270597344067,0,0,15858,15864,13291,1543,1166
ENSG00000137142,IGFBPL1,347252,insulin like growth factor binding protein like 1,7520.434847702021,-2.940697093805827,0.05548240433734312,-53.00233702789542,0,0,2033,1856,1810,21010,15228
ENSG00000137496,IL18BP,10068,interleukin 18 binding protein,13785.068602551672,8.051960588547049,0.11399809697678945,70.63241231286928,0,0,21753,22013,19956,117,82
ENSG00000137501,SYTL2,54843,synaptotagmin like 2,8127.968949895961,-1.885477417066121,0.043277455261148956,-43.56719695482539,0,0,3813,3810,3275,19273,14019
ENSG00000138496,PARP9,83666,poly(ADP-ribose) polymerase family member 9,6254.787866760549,3.0138601699248637,0.05752492232920834,52.392251008648,0,0,9287,9277,8235,1553,1186
ENSG00000138685,FGF2,2247,fibroblast growth factor 2,2218.182272388397,5.059605928361685,0.12581437162784376,40.21484877202973,0,0,3765,3342,3007,160,92
ENSG00000139269,INHBE,83729,inhibin subunit beta E,62257.718456144314,4.193791613362696,0.027073157966307493,154.90588938984746,0,0,99147,96061,83793,7390,5231
ENSG00000139289,PHLDA1,22822,pleckstrin homology like domain family A member 1,23779.577895117687,3.2577616804645486,0.06981877159521935,46.6602549147057,0,0,34410,34422,33929,4968,3904
ENSG00000139914,FITM1,161247,fat storage inducing transmembrane protein 1,4244.686135114269,-3.3667875034458694,0.08344459113099317,-40.34758224365449,0,0,875,787,832,12216,9085
ENSG00000140105,WARS1,7453,tryptophanyl-tRNA synthetase 1,253544.96840568044,7.2938192231649515,0.027720542314556288,263.11964392323256,0,0,417124,404035,351557,3586,2593
ENSG00000141682,PMAIP1,5366,phorbol-12-myristate-13-acetate-induced protein 1,7044.791750919719,2.767726426570139,0.06974600098954231,39.682940775129616,0,0,10290,10628,8885,2217,1429
ENSG00000142089,IFITM3,10410,interferon induced transmembrane protein 3,21880.487998967434,2.514067927753559,0.0348420773778112,72.15608588696311,0,0,33025,31098,26955,7524,5623
ENSG00000142871,CCN1,3491,cellular communication network factor 1,90139.26334143511,3.9832284201323342,0.03786442543251483,105.1971177334139,0,0,140143,137159,123870,11764,9136
ENSG00000143067,ZNF697,90874,zinc finger protein 697,3850.833995671164,2.4933701494136282,0.06107073632363948,40.8275763403312,0,0,5762,5355,4870,1366,983
ENSG00000143333,RGS16,6004,regulator of G protein signaling 16,5993.4649268363155,3.3323516503550348,0.06818310153631671,48.873570947489206,0,0,9082,8847,8137,1307,849
ENSG00000143384,MCL1,4170,"MCL1 apoptosis regulator, BCL2 family member",20769.44742476577,2.006966749678184,0.04237281308109596,47.36449161015378,0,0,30186,28362,24293,9571,7376
ENSG00000147010,SH3KBP1,30011,SH3 domain containing kinase binding protein 1,15372.339820572199,1.3571053798775732,0.03468209182903332,39.129859483893746,0,0,20083,19347,17193,10407,7831
ENSG00000148677,ANKRD1,27063,ankyrin repeat domain 1,2949.825671685413,2.8216779349769134,0.07329583134029011,38.49711345624455,0,0,4340,4307,3855,838,624
ENSG00000148841,ITPRIP,85450,"inositol 1,4,5-trisphosphate receptor interacting protein",7337.383505465201,3.2142662149296073,0.05349028535140956,60.09065372923657,0,0,11529,10989,9319,1665,1172
ENSG00000149131,SERPING1,710,serpin family G member 1,11960.454226250555,4.887557567581044,0.07817157059623721,62.52346639964154,0,0,18148,18266,17685,914,610
ENSG00000149257,SERPINH1,871,serpin family H member 1,35824.4612039246,1.4547564681847518,0.027896902584931174,52.147598241625396,0,0,48616,45263,40026,23425,16952
ENSG00000149925,ALDOA,226,"aldolase, fructose-bisphosphate A",48073.02816486609,-1.0797281350261037,0.027941718783108135,-38.64215166601854,0,0,32503,32075,28054,92758,68904
ENSG00000153879,CEBPG,1054,CCAAT enhancer binding protein gamma,4722.484638288191,3.124921873392394,0.07239933168822922,43.16230275231184,0,0,7339,6929,6118,1192,754
ENSG00000154451,GBP5,115362,guanylate binding protein 5,62277.90233209961,9.76045402028049,0.19163439523746345,50.932683604035894,0,0,99457,101056,88191,132,138
ENSG00000155657,TTN,7273,titin,1823.3344126554155,-7.297783354391645,0.18847730655086278,-38.71969250803281,0,0,36,20,24,5906,4464
ENSG00000156273,BACH1,571,BTB domain and CNC homolog 1,9694.87251192892,2.2265214688020545,0.05865109613163891,37.96214590439638,0,0,14493,13831,11197,4111,2871
ENSG00000156587,UBE2L6,9246,ubiquitin conjugating enzyme E2 L6,11135.007304130906,3.1775420241105845,0.05877897567748593,54.05915954618576,0,0,17165,16407,14589,2708,1729
ENSG00000159173,TNNI1,7135,"troponin I1, slow skeletal type",6934.367166391286,-4.160429747208886,0.0699372019966688,-59.48807828210017,0,0,826,874,787,20614,16032
ENSG00000159200,RCAN1,1827,regulator of calcineurin 1,4962.063641005882,3.0154094301053784,0.062262160748871066,48.43085099901634,0,0,7654,7456,6208,1245,929
ENSG00000159251,ACTC1,70,actin alpha cardiac muscle 1,5484.02663891858,-2.5964150496984226,0.06798078535525831,-38.193366495104634,0,0,1906,1751,1420,14893,10482
ENSG00000159403,C1R,715,complement C1r,22266.447860212018,3.4061242638186706,0.04067131639135148,83.74757854021571,0,0,33766,33626,29791,4300,3267
ENSG00000160710,ADAR,103,adenosine deaminase RNA specific,20971.176835770228,1.7977255116470905,0.03337826122535829,53.85917197751793,0,0,29393,28228,24169,11138,8268
ENSG00000160867,FGFR4,2264,fibroblast growth factor receptor 4,9495.014203340397,-2.879374278416207,0.05425285498778643,-53.07323050675251,0,0,2718,2630,2134,26882,18703
ENSG00000162645,GBP2,2634,guanylate binding protein 2,11157.180421808223,3.9101905860029844,0.06888986751215076,56.7600247643575,0,0,16604,16940,15902,1630,1109
ENSG00000162654,GBP4,115361,guanylate binding protein 4,8809.803782022775,9.652195214206957,0.22840180603426932,42.25971493744995,0,0,14051,14363,12429,24,18
ENSG00000162734,PEA15,8682,proliferation and apoptosis adaptor protein 15,19416.878559737117,1.5017348910251787,0.030950699939163502,48.52022390372364,0,0,25913,24692,22337,12337,8971
ENSG00000162745,OLFML2B,25903,olfactomedin like 2B,2721.9425418820815,-6.338328798753903,0.12131439619244776,-52.247128104228125,0,0,76,85,69,8767,6584
ENSG00000162772,ATF3,467,activating transcription factor 3,8043.43622933063,3.1973989950645296,0.07302217495950535,43.78668530261741,0,0,12102,11881,10794,1959,1212
ENSG00000163131,CTSS,1520,cathepsin S,5535.3327061118,3.9560694385110167,0.06920135159601164,57.167516923744905,0,0,9112,8404,7177,741,569
ENSG00000163346,PBXIP1,57326,PBX homeobox interacting protein 1,3082.0939061386352,-3.1986045818751614,0.07484359973734829,-42.737182512601684,0,0,758,679,577,8863,6404
ENSG00000163347,CLDN1,9076,claudin 1,4073.36622206769,8.43787823022563,0.22276926181952003,37.877210533029945,0,0,6605,6578,5692,25,20
ENSG00000163485,ADORA1,134,adenosine A1 receptor,2361.0924084917688,-4.0962888935647195,0.08761958968163298,-46.75083401381635,0,0,322,294,268,7101,5363
ENSG00000163565,IFI16,3428,interferon gamma inducible protein 16,18438.946341674535,2.6552650731261016,0.04516001589299045,58.796814408079975,0,0,28517,26004,22995,5709,4412
ENSG00000163840,DTX3L,151636,deltex E3 ubiquitin ligase 3L,12005.953239057117,3.82118028424159,0.04577594666964885,83.47572387345457,0,0,19414,18103,15783,1812,1304
ENSG00000164307,ERAP1,51752,endoplasmic reticulum aminopeptidase 1,3696.608515732788,2.7459203127588276,0.07198221699042837,38.14720395627657,0,0,5416,5317,4859,1157,776
ENSG00000165732,DDX21,9188,DExD-box helicase 21,16868.38172801785,1.7146610300771359,0.04137377411771273,41.44318633341849,0,0,22712,21954,20335,9601,6825
ENSG00000166741,NNMT,4837,nicotinamide N-methyltransferase,8734.417168555283,1.9538586149203145,0.04777873150958759,40.893898879007295,0,0,12273,11510,10776,4247,3131
ENSG00000166750,SLFN5,162394,schlafen family member 5,8672.905871635141,2.970147687476772,0.050803731755136215,58.46317947256881,0,0,13016,12981,11126,2330,1599
ENSG00000166923,GREM1,26585,"gremlin 1, DAN family BMP antagonist",7645.181118017514,2.8854574426337662,0.07021565261937482,41.09421952218063,0,0,11293,11701,9585,1991,1625
ENSG00000166963,MAP1A,4130,microtubule associated protein 1A,5640.000476676189,-2.3984329417156274,0.0637942273970292,-37.596394526243905,0,0,1952,2079,1764,14395,10824
ENSG00000167658,EEF2,1938,eukaryotic translation elongation factor 2,75574.21438549357,-1.133639560353669,0.02493603090638689,-45.46190869787978,0,0,50897,48021,43524,148345,109800
ENSG00000167680,SEMA6B,10501,semaphorin 6B,2407.407550002592,-3.31938920272581,0.08731682959278482,-38.01545725155484,0,0,530,510,422,6706,5274
ENSG00000167779,IGFBP6,3489,insulin like growth factor binding protein 6,3730.21399582804,6.4237623912049795,0.12953397766139416,49.59133122582628,0,0,6268,5910,5035,85,80
ENSG00000168062,BATF2,116071,basic leucine zipper ATF-like transcription factor 2,3795.7421377253936,5.7331873463349545,0.110620969375925,51.82731066884591,0,0,6220,6096,5115,174,98
ENSG00000168334,XIRP1,165904,xin actin binding repeat containing 1,17201.6533450265,5.237066336629393,0.04794246823486471,109.23647716620678,0,0,27725,26658,24053,999,722
ENSG00000168394,TAP1,6890,"transporter 1, ATP binding cassette subfamily B member",7383.9455027134045,5.339150098746483,0.09232917387029359,57.82733533657584,0,0,11815,11534,10359,451,246
ENSG00000168685,IL7R,3575,interleukin 7 receptor,17058.196601680233,4.385754249525236,0.07984444259273678,54.92873526459055,0,0,26352,27123,23246,1941,1138
ENSG00000169136,ATF5,22809,activating transcription factor 5,9836.320535683748,3.9925627784595066,0.09878826746994541,40.41535377340404,0,0,13971,14859,14739,1239,1019
ENSG00000169429,CXCL8,3576,C-X-C motif chemokine ligand 8,3838.458394662403,6.831847014087323,0.14225595396684915,48.02503391653747,0,0,6278,5924,5500,84,45
ENSG00000171132,PRKCE,5581,protein kinase C epsilon,7877.1053758058415,3.3764793245987286,0.0649422112304351,51.99205971933929,0,0,12476,11864,10087,1681,1076
ENSG00000171223,JUNB,3726,"JunB proto-oncogene, AP-1 transcription factor subunit",17354.197570420663,2.030812568635494,0.036892461142532175,55.046817310169445,0,0,25335,23571,20467,8145,5881
ENSG00000171365,CLCN5,1184,chloride voltage-gated channel 5,9595.051459222848,-1.6691347561186556,0.03812049810539695,-43.785754097540135,0,0,5057,4933,4291,21619,15897
ENSG00000172183,ISG20,3669,interferon stimulated exonuclease gene 20,4903.512776076471,3.878992930213383,0.0904862600192425,42.86830872873395,0,0,7441,8032,6327,668,548
ENSG00000172216,CEBPB,1051,CCAAT enhancer binding protein beta,8258.04137997631,3.342418462727055,0.056622614481152515,59.02974444671072,0,0,12868,11870,11200,1658,1267
ENSG00000173193,PARP14,54625,poly(ADP-ribose) polymerase family member 14,8569.999348151026,5.121860452733722,0.0852055533812535,60.1118148932838,0,0,13337,13508,12129,482,436
ENSG00000173706,HEG1,57493,heart development protein with EGF like domains 1,23273.36160815227,1.2904888183777925,0.032171770547642635,40.112458730449084,0,0,29967,28843,26049,16406,12245
ENSG00000173812,EIF1,10209,eukaryotic translation initiation factor 1,33852.444055409,1.5602611976511245,0.02645629352248598,58.97504865241281,0,0,45510,43473,39169,20875,15086
ENSG00000174748,RPL15,6138,ribosomal protein L15,32605.256122685973,-1.161025152451958,0.030829929490179916,-37.65902717428442,0,0,21197,21043,18512,65678,46871
ENSG00000175197,DDIT3,1649,DNA damage inducible transcript 3,17046.345059528994,4.650722782822497,0.05788517122637472,80.34394101789316,0,0,27366,25694,23952,1384,1138
ENSG00000177409,SAMD9L,219285,sterile alpha motif domain containing 9 like,3098.148433134011,5.515853297322444,0.1098876985103079,50.19536647047927,0,0,5058,4755,4357,145,111
ENSG00000177606,JUN,3725,"Jun proto-oncogene, AP-1 transcription factor subunit",29570.222990553262,-1.5545594308731936,0.02904820650834064,-53.516537429835175,0,0,16265,16007,14121,64884,47740
