gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,OS_17_D1_1_S12_L001,OS_17_D1_2_S13_L001,OS_17_D1_3_S14_L001,OS_17_D2_1_S15_L001,OS_17_D2_2_S16_L001,OS_17_D2_3_S17_L001,OS_17_D3_1_S18_L001,OS_17_D3_2_S19_L001,OS_17_D3_3_S20_L001,OS_17_Media_1_S21_L001,OS_17_Media_2_S22_L001
ENSG00000130513,GDF15,9518,growth differentiation factor 15,5017.716715875444,6.069305672728668,0.16048512847025384,37.818492782361595,0,0,5168,6795,5732,6541,6261,6694,6147,5392,4927,165,59
ENSG00000130766,SESN2,83667,sestrin 2,12336.398673856647,4.416903464273508,0.10475229221107196,42.16522016886859,0,0,11442,14838,13280,16730,16446,16153,15197,14715,12286,963,704
ENSG00000131203,IDO1,3620,"indoleamine 2,3-dioxygenase 1",7916.409624766308,9.17612310878773,0.2402386956877263,38.1958580091331,0,0,8039,9612,8591,10804,9939,9771,10586,9465,8154,26,14
ENSG00000132530,XAF1,54739,XIAP associated factor 1,5173.684724349695,6.2090470537095115,0.15618527159204082,39.75436986099222,0,0,6117,5968,5058,7424,6712,6234,6675,5942,5243,83,115
ENSG00000134684,YARS1,8565,tyrosyl-tRNA synthetase 1,21245.622736278452,2.8671628179035893,0.07119170662228391,40.27383179779161,0,0,20356,27189,24589,26562,25345,24278,25755,25164,21844,4678,3541
ENSG00000135899,SP110,3431,SP110 nuclear body protein,9178.867015824766,4.481706995351231,0.09434417303314596,47.503802845107046,0,0,9954,11260,9992,12300,11924,11708,10892,9718,9648,647,531
ENSG00000136068,FLNB,2317,filamin B,91132.0773975201,4.501234939428277,0.11617881903304965,38.744023883973206,0,0,92722,108409,90731,129910,128799,124733,105678,99160,88794,6685,4928
ENSG00000137496,IL18BP,10068,interleukin 18 binding protein,17639.020454275866,8.014778416561402,0.12049708530401122,66.51429282575849,0,0,18576,20360,19950,22535,22378,21195,21753,22013,19956,117,82
ENSG00000138496,PARP9,83666,poly(ADP-ribose) polymerase family member 9,7726.050236698209,2.9963405971660713,0.07838071051849199,38.22803566521841,0,0,9371,8757,7460,9875,9401,8875,9287,9277,8235,1553,1186
ENSG00000138685,FGF2,2247,fibroblast growth factor 2,2984.1179885886086,5.112683448666101,0.12511140262156345,40.86504780168542,0,0,3641,3514,3210,4092,3883,3346,3765,3342,3007,160,92
ENSG00000139269,INHBE,83729,inhibin subunit beta E,76554.12668753404,4.1301472532473955,0.0756115309653977,54.62324595884039,0,0,75937,99476,92597,92398,85619,85025,99147,96061,83793,7390,5231
ENSG00000139289,PHLDA1,22822,pleckstrin homology like domain family A member 1,29133.8773362735,3.2175774567856874,0.06383599509005142,50.40381139585516,0,0,30642,34788,32098,35389,34593,34149,34410,34422,33929,4968,3904
ENSG00000140105,WARS1,7453,tryptophanyl-tRNA synthetase 1,320504.3868000739,7.240014795926514,0.08627927585074052,83.91371768640516,0,0,296459,384323,349264,425678,409365,396056,417124,404035,351557,3586,2593
ENSG00000142871,CCN1,3491,cellular communication network factor 1,126411.92096419315,4.115287877493238,0.09528066110315751,43.19121876198717,0,0,132231,156147,145841,172254,166085,164101,140143,137159,123870,11764,9136
ENSG00000149131,SERPING1,710,serpin family G member 1,15606.225818675694,4.898894885721574,0.1158189639085789,42.29786487805651,0,0,13523,18810,18656,21655,19766,19459,18148,18266,17685,914,610
ENSG00000153879,CEBPG,1054,CCAAT enhancer binding protein gamma,6013.067592695505,3.148596237276115,0.06930216972494813,45.432866673186574,0,0,6428,7858,6760,7618,7156,6704,7339,6929,6118,1192,754
ENSG00000154451,GBP5,115362,guanylate binding protein 5,77936.27110001759,9.694439201248404,0.13866492246816817,69.91270054958459,0,0,77785,85186,76353,107174,104003,96644,99457,101056,88191,132,138
ENSG00000159200,RCAN1,1827,regulator of calcineurin 1,6302.993081329898,3.0395644232656958,0.0799877592001078,38.000369727341976,0,0,6257,8180,7465,8047,7596,6972,7654,7456,6208,1245,929
ENSG00000159403,C1R,715,complement C1r,26510.111055557405,3.316851653225552,0.07186373044214503,46.15473804126872,0,0,25693,31838,29494,31681,31394,30547,33766,33626,29791,4300,3267
ENSG00000162745,OLFML2B,25903,olfactomedin like 2B,1235.3570464232068,-6.390838603404661,0.16163183229289127,-39.539480019157935,0,0,85,58,74,57,103,65,76,85,69,8767,6584
ENSG00000163485,ADORA1,134,adenosine A1 receptor,1204.9414392460576,-4.083899053571325,0.10849304487863773,-37.64203556218418,0,0,260,385,308,320,279,274,322,294,268,7101,5363
ENSG00000163840,DTX3L,151636,deltex E3 ubiquitin ligase 3L,15366.656050762374,3.8253790934124683,0.06107173067286498,62.637476476692314,0,0,17426,18509,15845,20055,19602,17562,19414,18103,15783,1812,1304
ENSG00000164307,ERAP1,51752,endoplasmic reticulum aminopeptidase 1,4371.046165165416,2.679462663492103,0.0665490897871847,40.262949832382006,0,0,4558,5207,4502,5264,5102,5038,5416,5317,4859,1157,776
ENSG00000166750,SLFN5,162394,schlafen family member 5,10872.075946176288,2.978846327166913,0.06768837353352135,44.00824206082744,0,0,11805,12785,10933,14284,13790,12705,13016,12981,11126,2330,1599
ENSG00000168062,BATF2,116071,basic leucine zipper ATF-like transcription factor 2,4608.808522973921,5.632582529723376,0.11780662085645022,47.81210503089459,0,0,4868,5523,5229,5507,5114,5492,6220,6096,5115,174,98
ENSG00000168334,XIRP1,165904,xin actin binding repeat containing 1,21070.449289650653,5.150245542906627,0.07112071213597403,72.41555080410322,0,0,22548,26549,24000,24491,24279,23936,27725,26658,24053,999,722
ENSG00000168394,TAP1,6890,"transporter 1, ATP binding cassette subfamily B member",9756.539696253083,5.368807148339633,0.120618708277973,44.51056743176935,0,0,8828,11941,11483,13286,12828,12003,11815,11534,10359,451,246
ENSG00000168685,IL7R,3575,interleukin 7 receptor,21912.549129731044,4.383553773075629,0.10777495302057447,40.67321441781375,0,0,20281,26543,22414,30373,29233,27208,26352,27123,23246,1941,1138
ENSG00000169136,ATF5,22809,activating transcription factor 5,12134.493286780928,3.9373073660186737,0.09529728221951929,41.31605093363527,0,0,12456,15166,14806,14357,14435,13047,13971,14859,14739,1239,1019
ENSG00000173193,PARP14,54625,poly(ADP-ribose) polymerase family member 14,11203.406754621525,5.124996211621504,0.11079237988825824,46.25765974871572,0,0,14080,12947,10441,14418,14987,13432,13337,13508,12129,482,436
ENSG00000175197,DDIT3,1649,DNA damage inducible transcript 3,23869.90909530836,4.7627227380699715,0.0966940786427712,49.25557805525489,0,0,27499,28144,25997,33754,30832,30532,27366,25694,23952,1384,1138
ENSG00000182326,C1S,716,complement C1s,6919.619950048435,8.01323521238395,0.20070764173344804,39.92491338733387,0,0,7827,7406,6923,9655,8023,7808,9797,9928,6926,33,44
ENSG00000184185,KCNJ12,3768,potassium inwardly rectifying channel subfamily J member 12,5826.521496684514,6.2152566122603945,0.11576299944788103,53.68949182297782,0,0,6234,7780,6959,7445,6810,6837,7405,6644,6151,130,98
ENSG00000185022,MAFF,23764,MAF bZIP transcription factor F,5729.538168768471,4.254734361767643,0.0944519767169621,45.046535918644885,0,0,6071,7114,6788,7471,7058,6994,6610,6435,6100,448,407
ENSG00000188313,PLSCR1,5359,phospholipid scramblase 1,6719.784591404927,3.829368042509799,0.10147377815118651,37.737513200744296,0,0,7464,8283,6627,9408,8804,8533,7880,7625,6421,799,562
ENSG00000196954,CASP4,837,caspase 4,8435.215681286996,4.195186911068122,0.09045683359325929,46.377777603092454,0,0,8842,9671,9043,11205,11315,10475,10047,10023,8728,726,592
ENSG00000213928,IRF9,10379,interferon regulatory factor 9,5777.216281351272,3.724702855514901,0.08815528683150348,42.251610645135216,0,0,6808,6714,6442,7381,6883,6507,7046,6955,6107,620,611
ENSG00000221963,APOL6,80830,apolipoprotein L6,16343.687133810789,2.910295217171649,0.07494364679608087,38.83311450122602,0,0,16988,19473,15754,21273,21076,19152,19794,19324,17462,3657,2527
ENSG00000163347,CLDN1,9076,claudin 1,5539.412022580697,8.487123090630778,0.22807841387599415,37.21142630904656,4.45947519962792e-303,8.18889115286514e-301,6054,7048,5793,7728,7169,6741,6605,6578,5692,25,20
ENSG00000172216,CEBPB,1051,CCAAT enhancer binding protein beta,9651.051452684702,3.228041983576019,0.08729603886024409,36.97810376876238,2.5754295744707594e-299,4.654169159579301e-297,9319,11695,9942,12070,10542,11564,12868,11870,11200,1658,1267
ENSG00000137821,LRRC49,54839,leucine rich repeat containing 49,2156.293738290231,4.075309221586783,0.11021142680280006,36.97719319865701,2.6636881246714513e-299,4.738451453028824e-297,2559,2679,2266,2933,2647,2486,2497,2573,2184,238,134
ENSG00000162654,GBP4,115361,guanylate binding protein 4,10794.672122242386,9.549715282316622,0.2588868223515325,36.88760669845694,7.302327871889478e-298,1.2790308126378726e-295,10065,11447,9770,15716,14608,13446,14051,14363,12429,24,18
ENSG00000113739,STC2,8614,stanniocalcin 2,12127.652127732068,3.2643203237763756,0.08940439133919374,36.511856687126055,7.191003001371138e-292,1.2404480177365213e-289,13722,14709,13168,16320,15332,15414,14202,12908,11360,2095,1507
ENSG00000163565,IFI16,3428,interferon gamma inducible protein 16,23662.71770379162,2.715182653456952,0.07437959292834626,36.50440324502218,9.441791575914944e-292,1.6043999565939052e-289,25760,27940,24339,32104,29572,28379,28517,26004,22995,5709,4412
ENSG00000119917,IFIT3,3437,interferon induced protein with tetratricopeptide repeats 3,27349.895228927882,5.329569607237284,0.14627740074397685,36.434675350605964,1.2030125058067945e-290,2.0141613792074053e-288,24985,29762,26122,41607,41141,37009,31678,31995,27912,1126,843
ENSG00000184384,MAML2,84441,mastermind like transcriptional coactivator 2,4298.412115506771,3.232874219741807,0.08889461620884453,36.36749172915776,1.3904719618684557e-289,2.294278737082952e-287,5123,5355,4058,5656,5308,5106,5152,4919,4372,758,546
ENSG00000133026,MYH10,4628,myosin heavy chain 10,4267.826682233424,-2.0623021188210977,0.057265433594728986,-36.01303595142817,5.2296548926557087e-284,8.505660136126463e-282,2568,2904,2446,2738,2600,2489,2953,2652,2378,15061,11758
ENSG00000144218,AFF3,3899,ALF transcription elongation factor 3,2275.462027430007,4.952386010454247,0.1376353111707131,35.98194364752558,1.6029849689605127e-283,2.5704202636078082e-281,2901,2895,2347,2783,2844,2735,2941,2700,2100,139,76
ENSG00000106105,GARS1,2617,glycyl-tRNA synthetase 1,27317.31721665559,2.740626518501701,0.0763017554579067,35.918262981690106,1.584672168293918e-282,2.505762866114758e-280,25628,33584,30928,35312,33137,31943,32214,32011,28682,6442,5034
ENSG00000177409,SAMD9L,219285,sterile alpha motif domain containing 9 like,4117.327901048316,5.541885028849104,0.15659016604471193,35.39101572487447,2.347315449244807e-274,3.6608474506372775e-272,5118,4554,3468,5741,5802,5114,5058,4755,4357,145,111
ENSG00000148677,ANKRD1,27063,ankyrin repeat domain 1,3829.5249340534206,2.8893001038507817,0.08213129657211776,35.17903922670633,4.1833466086918625e-271,6.436135289183358e-269,4482,4408,4102,4994,4692,4643,4340,4307,3855,838,624
ENSG00000130589,HELZ2,85441,helicase with zinc finger 2,15712.920646887846,4.356363063399789,0.12411663728315228,35.09894530466083,6.995183455559093e-270,1.0618688485538702e-267,18880,18152,13952,21315,21346,21398,19348,18133,14441,1355,878
ENSG00000002549,LAP3,51056,leucine aminopeptidase 3,13240.931701483913,3.0980488615261663,0.08826900396505478,35.097811489440474,7.2794052450769584e-270,1.0904740620421207e-267,12472,14649,13823,17526,16707,15931,16563,16379,14370,2510,1878
ENSG00000113013,HSPA9,3313,heat shock protein family A (Hsp70) member 9,28489.399684371903,1.8763990179682328,0.05391064239118339,34.80572545125341,1.9925007950863925e-265,2.9460547470205946e-263,30823,34294,31799,34249,32344,30956,32992,31772,28504,11708,9463
ENSG00000169429,CXCL8,3576,C-X-C motif chemokine ligand 8,6280.6759778092155,7.1675431361877315,0.20614482293109893,34.76945496023145,7.044128411065274e-265,1.0281718199997198e-262,6670,9126,8264,8998,8329,8151,6278,5924,5500,84,45
ENSG00000130477,UNC13A,23025,unc-13 homolog A,2349.2980282353947,5.154268690620217,0.14948877167763353,34.47930324650194,1.63878972789731e-260,2.361724183811503e-258,2478,2873,2789,2572,2564,2617,3151,3314,2642,123,70
ENSG00000156587,UBE2L6,9246,ubiquitin conjugating enzyme E2 L6,14033.700400233625,3.1851139814147142,0.09242906556935518,34.4600906846205,3.179632505278729e-260,4.525014509074792e-258,12695,17342,15975,17904,17356,17482,17165,16407,14589,2708,1729
ENSG00000163131,CTSS,1520,cathepsin S,7499.9603990568,4.037242384495642,0.11760519584581576,34.32877565876085,2.920961413143967e-258,4.1055735418079085e-256,7715,8277,7827,11154,10101,9700,9112,8404,7177,741,569
ENSG00000105939,ZC3HAV1,56829,"zinc finger CCCH-type containing, antiviral 1",5324.184193594581,5.522391750158654,0.16249586878959552,33.984813221985426,3.73480121263869e-253,5.185452659255059e-251,4877,6379,4340,7487,7326,6853,6672,7332,5723,193,143
ENSG00000116044,NFE2L2,4780,NFE2 like bZIP transcription factor 2,6551.166423628242,2.2503340425487464,0.06636888373340685,33.90646212444941,5.349973546161575e-252,7.338487810005968e-250,6900,8193,7093,7908,7624,7527,8163,7668,6097,2337,1529
ENSG00000276043,UHRF1,29128,ubiquitin like with PHD and ring finger domains 1,4442.7850975940155,-2.4948813178771196,0.07361619767123388,-33.890385496669225,9.230723168091362e-252,1.251092657960954e-249,2355,2522,2120,2408,2083,2274,2671,2566,2143,18900,13567
ENSG00000120889,TNFRSF10B,8795,TNF receptor superfamily member 10b,14995.476986501842,2.1731209631829014,0.06442316535340957,33.73198058899616,1.9646542544047597e-249,2.6314810219291988e-247,17385,17693,15325,18551,18084,17489,17631,16709,14349,5563,3737
ENSG00000165732,DDX21,9188,DExD-box helicase 21,19896.39788788215,1.7301731980472783,0.05138418606199237,33.671316617916524,1.520446277838914e-248,2.0128233573483762e-246,21335,23713,19874,25087,23045,21834,22712,21954,20335,9601,6825
ENSG00000171132,PRKCE,5581,protein kinase C epsilon,10973.066796474,3.523394838277867,0.10522119471826559,33.48560000399076,7.810213971475245e-246,1.0220607593706398e-243,11763,14050,11866,14933,15010,13510,12476,11864,10087,1681,1076
ENSG00000136826,KLF4,9314,KLF transcription factor 4,11396.566149657601,3.5869380747181503,0.10737047004659407,33.407119044571346,1.0805896410579044e-244,1.3980128481186638e-242,11238,12650,11049,13880,12894,13288,15858,15864,13291,1543,1166
ENSG00000120129,DUSP1,1843,dual specificity phosphatase 1,12459.385796901397,5.111599235770739,0.15339544596344615,33.32301818783345,1.792244487111826e-243,2.2926633130076563e-241,11698,15055,13754,18866,18069,17619,14026,12896,11035,618,430
ENSG00000143067,ZNF697,90874,zinc finger protein 697,4492.670765670218,2.4227814762919118,0.07276485502557305,33.29603935087111,4.40583400920663e-243,5.5733800216463864e-241,4509,5253,4478,5781,5249,5022,5762,5355,4870,1366,983
ENSG00000006652,IFRD1,3475,interferon related developmental regulator 1,3317.812913491784,3.0363479192683323,0.0912915223432994,33.25991112132214,1.4677087439713674e-242,1.8362487967158262e-240,3880,4131,3404,4355,4194,3741,4018,3726,3216,726,436
ENSG00000132688,NES,10763,nestin,7168.152365550772,-3.1084631502450595,0.09347488224489274,-33.254528656171686,1.7557039479547888e-242,2.1726836355940512e-240,3210,3221,3047,2852,2597,2675,3133,2909,2644,34716,26820
ENSG00000162772,ATF3,467,activating transcription factor 3,9201.972701469811,3.060635289581868,0.09222574382440266,33.18634431845084,1.6946005234186892e-241,2.074519027862557e-239,8919,10684,9870,11174,10343,10266,12102,11881,10794,1959,1212
ENSG00000135069,PSAT1,29968,phosphoserine aminotransferase 1,17213.33093072268,2.800747436994608,0.08460221340437138,33.10489553751904,2.5268794603328646e-240,3.0604811336052834e-238,17611,21963,19490,22820,21321,20615,19798,18624,16679,4314,2742
ENSG00000112984,KIF20A,10112,kinesin family member 20A,1173.2045350874844,-3.4898913800950564,0.1079084382679988,-32.34122776781966,1.8429942717553215e-229,2.2086831351509827e-227,396,372,335,411,375,372,487,443,404,6480,4548
ENSG00000129152,MYOD1,4654,myogenic differentiation 1,8871.589937880266,-3.689167883545882,0.1156159570621032,-31.90881239312185,2.0150988293470645e-223,2.389781267928784e-221,2540,3067,2628,2423,2319,2414,3385,3050,2748,50265,36154
ENSG00000142089,IFITM3,10410,interferon induced transmembrane protein 3,26784.566894681557,2.513171481259839,0.07906068789735884,31.78787774427897,9.520442536210076e-222,1.1174251368531104e-219,24624,32130,30381,33743,31843,32707,33025,31098,26955,7524,5623
ENSG00000172183,ISG20,3669,interferon stimulated exonuclease gene 20,6124.305801763658,3.842912820183921,0.12155372059156927,31.614933722155914,2.3018180881812014e-219,2.674101932034998e-217,5259,7275,6406,8426,7917,7691,7441,8032,6327,668,548
ENSG00000265972,TXNIP,10628,thioredoxin interacting protein,58196.58531934665,1.8635550585598635,0.059029857312991575,31.569702916251558,9.622211750951581e-219,1.1065543513594318e-216,56264,68521,60056,70677,66817,62313,71892,69992,61629,26126,18027
ENSG00000135842,NIBAN1,116496,niban apoptosis regulator 1,5103.889011909407,2.78435572034605,0.0885144880796975,31.45649690521902,3.421097660767547e-217,3.894919686783852e-215,5381,6705,5157,6657,6400,5950,6130,5780,4939,1320,800
ENSG00000189403,HMGB1,3146,high mobility group box 1,7254.873641484207,-2.1214522203407964,0.06781448194493497,-31.283173733648887,7.904439878438811e-215,8.910103763962956e-213,4318,4957,4341,4683,4503,3835,4660,4404,3838,27498,19431
ENSG00000129667,RHBDF2,79651,rhomboid 5 homolog 2,1533.037103922906,3.9564509170299926,0.1266516534995123,31.238841402455343,3.1649210394331307e-214,3.532610395484921e-212,1539,1829,1599,2049,1738,1827,1966,2048,1629,184,103
ENSG00000164308,ERAP2,64167,endoplasmic reticulum aminopeptidase 2,2196.566201133275,2.5658412522506286,0.08219271814798322,31.217379228546502,6.190631558608579e-214,6.842751484928026e-212,2593,2698,2210,2609,2536,2455,2644,2520,2407,639,411
ENSG00000125977,EIF2S2,8894,eukaryotic translation initiation factor 2 subunit beta,22032.108918390866,1.5228156582428087,0.048884740449855274,31.151145413257833,4.894070120370293e-213,5.35759503080921e-211,21756,25583,23725,26144,24787,24302,25567,24847,22388,11672,8998
ENSG00000051108,HERPUD1,9709,homocysteine inducible ER protein with ubiquitin like domain 1,6888.814979815657,1.901236395049186,0.06135579029431757,30.98707368822316,8.050115960352151e-211,8.728625734153261e-209,7201,8185,7040,8186,8291,8110,7980,8098,6633,3027,2073
ENSG00000132274,TRIM22,10346,tripartite motif containing 22,2590.002741788775,6.737443113515964,0.2175986715572835,30.962703334989396,1.713872661009095e-210,1.840796249583825e-208,3297,3063,2445,3546,3570,3548,2802,3031,2419,44,27
ENSG00000111335,OAS2,4939,2'-5'-oligoadenylate synthetase 2,7093.608483493268,9.345892308305734,0.3029869786207485,30.84585466626297,6.366611648586087e-209,6.774193796182486e-207,6965,8267,6394,11696,10788,9466,8081,7911,6735,21,11
ENSG00000142627,EPHA2,1969,EPH receptor A2,1842.502310430133,3.5067663908144415,0.11473887600020444,30.563018508288273,3.7971246466049283e-205,4.002802231629362e-203,1934,2342,2127,2242,2202,2413,2152,2023,1918,297,172
ENSG00000143256,PFDN2,5202,prefoldin subunit 2,6410.449645649571,1.865108773726474,0.061082746064197564,30.534134332570066,9.184874531058064e-205,9.59355931523817e-203,6561,7723,7277,7654,7029,7269,7460,7356,6392,2705,2110
ENSG00000185404,SP140L,93349,SP140 nuclear body protein like,4037.301658512679,2.852189134877228,0.09397701445471815,30.34985896739171,2.523263693652028e-202,2.588050193894445e-200,4338,4215,4035,5177,4611,4745,5388,5200,4296,884,691
ENSG00000135052,GOLM1,51280,golgi membrane protein 1,32773.50618904056,1.9827455112753951,0.06536519695440801,30.333351747694618,4.165980224153044e-202,4.2347932903555715e-200,31394,36595,34059,41339,38854,36741,40109,39358,34294,13072,9780
ENSG00000050405,LIMA1,51474,LIM domain and actin binding 1,17256.98317866642,2.218301527301784,0.07349964272759792,30.18111986643505,4.190909071875438e-200,4.2224336091417575e-198,19867,21233,18559,21651,21041,20166,19151,18486,16352,5979,4347
ENSG00000196526,AFAP1,60312,actin filament associated protein 1,17796.005620336764,2.05817139400433,0.06830903620425019,30.130294736558884,1.9438723821050343e-199,1.941314655286475e-197,18489,20455,16724,21057,21166,20098,22572,21585,19031,6698,5096
ENSG00000143384,MCL1,4170,"MCL1 apoptosis regulator, BCL2 family member",25017.36813551251,2.0232655692323593,0.0672368079350927,30.09163628329183,6.233926927742529e-199,6.171587658465104e-197,26300,28512,24569,32358,30473,29499,30186,28362,24293,9571,7376
ENSG00000167779,IGFBP6,3489,insulin like growth factor binding protein 6,5039.711083819085,6.453459445932805,0.214618535150399,30.069441306224512,1.2162768924374332e-198,1.193733829344843e-196,3979,5319,4688,7819,7346,7703,6268,5910,5035,85,80
ENSG00000177542,SLC25A22,79751,solute carrier family 25 member 22,2846.9261782695494,2.1309787578205777,0.07093786112640049,30.0400762580577,2.942703759035349e-198,2.8634771193690125e-196,2861,3410,2975,3470,3228,3339,3670,3301,2821,1073,738
ENSG00000156510,HKDC1,80201,hexokinase domain containing 1,3763.7730329016617,3.150299247083732,0.10489338555069722,30.033345101261176,3.602882492799082e-198,3.4761709475014874e-196,4864,4528,4485,4134,4199,3955,4519,4379,4164,735,480
ENSG00000113263,ITK,3702,IL2 inducible T cell kinase,2282.2071960659277,4.976752364917562,0.16613464952233903,29.956137261109827,3.660305682556777e-197,3.50189749545453e-195,2790,2653,2205,3336,3180,2922,2789,2311,2147,133,79
ENSG00000166401,SERPINB8,5271,serpin family B member 8,1955.4112639311281,3.9369971963195347,0.1318430569325057,29.861240234554014,6.273742337637612e-196,5.952213042833685e-194,2182,2490,1969,2677,2666,2331,2263,2224,1893,244,129
ENSG00000171492,LRRC8D,55144,leucine rich repeat containing 8 VRAC subunit D,6890.428532492801,2.157650220741983,0.0724943715986786,29.763003294745605,1.1772041895575638e-194,1.1076421238109805e-192,6625,8436,7609,8764,8133,7912,8006,7990,6914,2601,1720
ENSG00000157557,ETS2,2114,"ETS proto-oncogene 2, transcription factor",4809.2915041320985,1.826825243211417,0.06146094912248058,29.72334904185882,3.834028011135309e-194,3.577902369407827e-192,4843,5499,4963,5653,5367,5539,5981,5697,4966,2074,1629
ENSG00000006210,CX3CL1,6376,C-X3-C motif chemokine ligand 1,4940.853777740756,6.587892883076718,0.22199066743548276,29.676440722407214,1.5466307634991184e-193,1.4315765237754036e-191,3993,5275,4447,7833,7520,7533,6256,5372,4822,89,61
